Title,Path,Page Type,Meta Title,Tag,Meta Description,Previous Page,Next Page,Category,Date,Meta Keywords,Publish,Last edited time,order
3️⃣ Section 3: Coding,,,,Overview,In the pages in this section you will learn basic coding with Causal Map.,,,3: Coding,,coding; Causal Map,Yes,"March 24, 2025 10:23 AM",500
✍ The Coding Panel,,,,,"Qualitative causal mapping involves taking passages of text, e.g. from interviews or documents, and identifying sections which make causal claims. ",,,3: Coding,,coding panel; factors; links; causal mapping; causal claims; chaining; opposites,Yes,"March 24, 2025 10:23 AM",510
✍ Editing factors and links,,,,,"Qualitative causal mapping involves taking passages of text, e.g. from interviews or documents, and identifying sections which make causal claims. ",,,3: Coding,,editing; factors; links; basic; map; statements panel,Yes,"March 24, 2025 10:21 AM",520
🔗 The Manage Links tab,,,,,"Qualitative causal mapping involves taking passages of text, e.g. from interviews or documents, and identifying sections which make causal claims. ",,,3: Coding,,Manage links; tab; statements; searching; replacing; deleting; downloading; links,Yes,"March 24, 2025 10:23 AM",530
#️⃣ Link hashtags,,,,,"Qualitative causal mapping involves taking passages of text, e.g. from interviews or documents, and identifying sections which make causal claims. ",,,3: Coding,,editing; factors; links; basic; map; statements panel,Yes,"March 24, 2025 10:24 AM",540
🎇 Factor labels: introduction,,,,Theory,"Many people like to start coding simply by choosing whatever factor labels occur to them, as far as possible using text directly taken from the statements they are coding. That’s one good way to start.",,,3: Coding,,"factor labels; coding; ",Yes,"March 24, 2025 10:24 AM",550
🏷 Autocomplete factor labels,,,,,,,,3: Coding,,"autocomplete; factor labels; hierarchical coding; ",Yes,"March 24, 2025 10:24 AM",560
📚 Factor labels: actual facts?,,,,Theory,"Causal mapping is very flexible and accommodates different philosophies or ways of coding. However, it’s good to be aware of this flexibility and perhaps avoid mixing philosophies.",,,3: Coding,,factor labels; facts; philosophies; coding,Yes,"March 24, 2025 10:27 AM",570
📚 Factor labels: semi-quantitative,,,,Theory,The formulation of factor labels should fit the intended interpretation of the causal links.,,,3: Coding,,factor labels; semi-quantitative; causal links; non-quantitative factors,Yes,"March 24, 2025 10:27 AM",580
📝 Hierarchical coding,,,,Theory,,,,3: Coding,,hierarchical coding; factor labels; simplifying; causal maps; hierarchies; zooming out; semi-colons,Yes,"March 24, 2025 10:27 AM",590
🔖 Hierarchical factors,,,,Theory,,,,3: Coding,,hierarchical factors; Causal Map 3; labels; zooming out; links,Yes,"March 24, 2025 10:27 AM",600
📚 Factor labels: specific,,,,Theory,"Causal mapping is very flexible and accommodates different philosophies or ways of coding. However, it’s good to be aware of this flexibility and perhaps avoid mixing philosophies.",,,3: Coding,,factor labels; facts; philosophies; coding,Yes,"March 24, 2025 10:27 AM",610
📚 Factor labels: using tags,,,,,"Hierarchical coding is one way to bring some order to a whole crowd of factors. However, sometimes you don’t want to think in terms of a strict hierarchy, or maybe you have an additional set of themes which cut across that hierarchy.",,,3: Coding,,"factor labels; hashtags; hierarchical coding; factors; ",Yes,"March 24, 2025 10:27 AM",620
➕➖ Opposites,,,,Theory,,,,3: Coding,,opposites; factors; coding; combining opposites; hierarchy,Yes,"March 24, 2025 10:27 AM",630
"📝 Ellipses ",,,,,,,,3: Coding,,"ellipses; manual coding; ",Yes,"March 24, 2025 10:27 AM",640
📑 Statement memos,,,,,"Qualitative causal mapping involves taking passages of text, e.g. from interviews or documents, and identifying sections which make causal claims. ",,,3: Coding,,statements memos; statements panel,Yes,"March 24, 2025 10:27 AM",650
📑 Positioning factors,,,,,"Qualitative causal mapping involves taking passages of text, e.g. from interviews or documents, and identifying sections which make causal claims. ",,,3: Coding,,statements memos; statements panel,Yes,"March 24, 2025 10:27 AM",660
" 📚 Context",,,,,"Qualitative causal mapping involves taking passages of text, e.g. from interviews or documents, and identifying sections which make causal claims. ",,,3: Coding,,statements memos; statements panel,Yes,"March 24, 2025 10:28 AM",670
ℹ The info panel,,,,,This info provides important information about context which you may need to refer to during coding.,,,3: Coding,,info panel; coding; memos panel,Yes,"March 24, 2025 10:28 AM",680
📝 Plain coding,,,,Theory,Causal mapping doesn’t usually deal with the kind of non-causal themes which are the focus of ordinary QDA (like in NVivo!). However sometimes it can be really useful to be able to simply note the presence of something without any causal connection.,,,3: Coding,,plain coding; non-causal themes; hashtag,Yes,"March 24, 2025 10:28 AM",690
✍ Top tips on coding,,,,,"First of all, there’s nothing to worry about, it’s fun!
The versioning / backups feature means you can always go back to any version of your file at any earlier time point.",,,3: Coding,,"tips; coding; versioning; backup; factor; ",Yes,"March 24, 2025 10:28 AM",700
